"Statin (daily dose)","Approx. LDL‑C reduction vs baseline"
"Atorvastatin 10 mg","~37% LDL ↓"
"Atorvastatin 20 mg","~43–44% LDL ↓"
"Atorvastatin 40 mg","~49–50% LDL ↓"
"Atorvastatin 80 mg","~52% LDL ↓ (range ~45–55% in RCTs)"
"Rosuvastatin 5 mg","~39–41% LDL ↓"
"Rosuvastatin 10 mg","~44–47% LDL ↓"
"Rosuvastatin 20 mg","~50–52% LDL ↓"
"Rosuvastatin 40 mg","~54–55% LDL ↓ (up to ≈55–66% in some trials)"
"Simvastatin 10 mg","~25% LDL ↓ (low‑intensity, from dose–response/meta‑analyses)"
"Simvastatin 20 mg","~30% LDL ↓"
"Simvastatin 40 mg","~35–41% LDL ↓"
"Simvastatin 80 mg","~42–47% LDL ↓ (rarely used now for safety)"
"Pravastatin 10 mg","~20% LDL ↓"
"Pravastatin 20 mg","~24% LDL ↓"
"Pravastatin 40 mg","~29% LDL ↓"
"Pravastatin 80 mg","~32–34% LDL ↓"
"Fluvastatin 20 mg","~20% LDL ↓"
"Fluvastatin 40 mg","~24–25% LDL ↓"
"Fluvastatin 80 mg (XL or 40×2)","~30–33% LDL ↓"
"Lovastatin 20 mg","~24% LDL ↓"
"Lovastatin 40 mg","~29–31% LDL ↓"
"Lovastatin 80 mg","~36% LDL ↓"
"Pitavastatin 1 mg","~31–33% LDL ↓ (from network/meta‑analysis and dose–response)"
"Pitavastatin 2 mg","~38–40% LDL ↓"
"Pitavastatin 4 mg","~43–47% LDL ↓"
